"","Original_Pop","Sample","Assigned_Pop","Posterior_membership_probability"
"1","JatunSacha","Ex11.3","Archidona",0.090802839244084
"2","JatunSacha","Ex11.3","JatunSacha",0.90919716075204
"3","JatunSacha","Ex11.3","ViaLoreto",3.87639129214445e-12
"4","JatunSacha","Ex11.4","Archidona",0.0307415196402607
"5","JatunSacha","Ex11.4","JatunSacha",0.969258480359668
"6","JatunSacha","Ex11.4","ViaLoreto",7.13511121300174e-14
"7","JatunSacha","Ex12.1","Archidona",0.00396037813147826
"8","JatunSacha","Ex12.1","JatunSacha",0.996039621868274
"9","JatunSacha","Ex12.1","ViaLoreto",2.4799509912688e-13
"10","JatunSacha","Ex12.7","Archidona",0.000437542416925984
"11","JatunSacha","Ex12.7","JatunSacha",0.999562457583074
"12","JatunSacha","Ex12.7","ViaLoreto",3.16699520705231e-16
"13","JatunSacha","Ex14.2","Archidona",0.0199586235545557
"14","JatunSacha","Ex14.2","JatunSacha",0.980041376445439
"15","JatunSacha","Ex14.2","ViaLoreto",5.19467595963834e-15
"16","JatunSacha","Ex14.4","Archidona",0.0225287805043395
"17","JatunSacha","Ex14.4","JatunSacha",0.977471219495651
"18","JatunSacha","Ex14.4","ViaLoreto",9.92854400477995e-15
"19","JatunSacha","Ex01.3","Archidona",0.0270802445863267
"20","JatunSacha","Ex01.3","JatunSacha",0.972919755413301
"21","JatunSacha","Ex01.3","ViaLoreto",3.7202099938509e-13
"22","JatunSacha","Ex02.3","Archidona",0.00150763994742039
"23","JatunSacha","Ex02.3","JatunSacha",0.99849236005258
"24","JatunSacha","Ex02.3","ViaLoreto",3.85858385026431e-17
"25","JatunSacha","Ex05.5","Archidona",0.00852378178608588
"26","JatunSacha","Ex05.5","JatunSacha",0.991476218213914
"27","JatunSacha","Ex05.5","ViaLoreto",2.17126173972623e-16
"28","JatunSacha","Ex06A.5","Archidona",9.97304194998901e-05
"29","JatunSacha","Ex06A.5","JatunSacha",0.9999002695805
"30","JatunSacha","Ex06A.5","ViaLoreto",1.10372734060207e-16
"31","JatunSacha","Ex06B.1","Archidona",0.000323249962290568
"32","JatunSacha","Ex06B.1","JatunSacha",0.999676750037709
