locale,Species,Nest,latitude,longitude,elevation,Trail
jatun sacha,eximius,Ex01_JS,-1.07218,-77.61461,406,Sendero 01
jatun sacha,eximius,Ex02_JS,-1.06624,-77.61561,400,Trail to Organic Garden
jatun sacha,eximius,Ex03_JS,-1.07356,-77.61584,403,RA4B4- Torre
jatun sacha,eximius,Ex04_JS,-1.0706,-77.61426,421,RA4-4- Sol 3
jatun sacha,eximius,Ex05_JS,-1.069,-77.61548,406,RA4-2- Sol 2
jatun sacha,eximius,Ex06A_JS,-1.06628,-77.62814,398,Botanico- Aleucinogena
jatun sacha,eximius,Ex06B_JS,-1.06628,-77.62814,398,Botanico- Aleucinogena
jatun sacha,eximius,Ex07_JS,-1.06574,-77.62844,413,Botanico- Rio Trail
jatun sacha,eximius,Ex08_JS,-1.07015,-77.62186,428,Farm- by fence
jatun sacha,eximius,Ex09_JS,-1.07015,-77.62186,428,Farm- by fence
jatun sacha,eximius,Ex10_JS,-1.06897,-77.62232,450,Farm- by cliff
jatun sacha,eximius,Ex11_JS,-1.06591,-77.62074,407,Trail to River- Far from trail
jatun sacha,eximius,Ex12_JS,-1.06424,-77.62162,398,Trail to River
jatun sacha,eximius,Ex13_JS,-1.0758,-77.61686,445,RA4B-5- Farm
jatun sacha,eximius,Ex14_JS,-1.0845,-77.61961,450,Trail Across Farm Past River
jatun sacha,eximius,Ex15_JS,-1.08459,-77.61989,451,Trail Across Farm Past River
jatun sacha,eximius,Ex16_JS,-1.0878,-77.62012,467,Trail Across Farm Past River
jatun sacha,eximius,Ex17_JS,-1.08798,-77.62373,466,Trail Across Farm Past River
jatun sacha,eximius,Ex18_JS,-1.08459,-77.61989,451,Trail Across Farm Past River
jatun sacha,eximius,Ex19_JS,-1.06705,-77.61678,432,by lab
sumaco,eximius,Exi_VL_9.1,-0.70844,-77.74856,1344,
sumaco,eximius,Exi_VL_9.5,-0.70644,-77.74527,1323,
sumaco,eximius,Exi_VL_10.5,-0.71244,-77.7407,1290,
sumaco,eximius,Exi_VL_17.5,-0.70256,-77.72288,1178,
sumaco,eximius,Exi_VL_24.0,-0.72653,-77.6841,1044,
sumaco,eximius,Exi_VL_24.1,-0.72531,-77.68349,1048,
sumaco,eximius,Exi_VL_29.0,-0.72007,-77.66898,1137,
sumaco,eximius,Exi_VL_Bridge.1,-0.72281,-77.63766,1095,
sumaco,eximius,Exi_VL_41.2,-0.7178,-77.6041,1181,
sumaco,eximius,Exi_VL_41.4,-0.71794,-77.6021,1155,
sumaco,eximius,Exi_VL_43.6.1,-0.70769,-77.59818,1050,
sumaco,eximius,Exi_VL_43.6.2,-0.70697,-77.5985,1049,
archidona,eximius,Exi_Archi_11.8,-0.81106,-77.78031,874,
