"","Pop","N","MLG","eMLG","SE","H","G","lambda","E.5","Hexp","Ia","rbarD","File"
"1","Exi11_JS",3,3,3,0,1.09861228866811,3,0.666666666666667,1,0.251694750084162,256.958854718982,0.0693269518745875,"js.exi.gi"
"2","Exi12_JS",6,6,6,0,1.79175946922805,6,0.833333333333333,1,0.23501168489564,406.386584745173,0.0617884842076601,"js.exi.gi"
"3","Exi14_JS",3,3,3,0,1.09861228866811,3,0.666666666666667,1,0.139062363334208,10.9293361884368,0.0108417355840036,"js.exi.gi"
"4","Exi01_JS",1,1,1,0,0,1,0,NA,0.280974988420565,NA,NA,"js.exi.gi"
"5","Exi02_JS",7,7,7,0,1.94591014905531,7,0.857142857142857,1,0.256756724259017,87.7821646821756,0.011601696435609,"js.exi.gi"
"6","Exi05_JS",4,4,4,0,1.38629436111989,4,0.75,1,0.165812415912952,228.652240696327,0.0901748781756802,"js.exi.gi"
"7","Exi06_JS",12,12,10,0,2.484906649788,12,0.916666666666667,1,0.237217164915416,136.97244729738,0.0174374200992255,"js.exi.gi"
"8","Exi07_JS",7,7,7,0,1.94591014905531,7,0.857142857142857,1,0.138206287961556,22.6677696196824,0.0100501486782858,"js.exi.gi"
"9","Exi08_JS",6,6,6,0,1.79175946922805,6,0.833333333333333,1,0.147480959708202,81.8128428093647,0.0294461874337566,"js.exi.gi"
"10","Exi10_JS",2,2,2,0,0.693147180559945,2,0.5,1,0.151946847337326,NA,NA,"js.exi.gi"
"11","Exi19_JS",1,1,1,0,0,1,0,NA,0.188133498145859,NA,NA,"js.exi.gi"
"12","Total",52,52,10.0000000000001,2.16226066913808e-06,3.95124371858143,52,0.980769230769231,1,0.28837943509942,753.078925356504,0.0555763854203433,"js.exi.gi"
