"","V1","V2","V3","V4"
"1","Ex12.N1.1","Exi12_JS","Exi12_JS","JatunSacha"
"2","Ex12.N1.3","Exi12_JS","Exi12_JS","JatunSacha"
"3","Ex12.N1.2","Exi12_JS","Exi12_JS","JatunSacha"
"4","Ex06B.N1.1","Exi06B_JS","Exi06_JS","JatunSacha"
"5","Ex06B.N1.2","Exi06B_JS","Exi06_JS","JatunSacha"
"6","Ex17.N1.1","Exi17_JS","Exi17_JS","JatunSacha"
"7","Ex08.N1.2","Exi08_JS","Exi08_JS","JatunSacha"
"8","Ex08.N1.3","Exi08_JS","Exi08_JS","JatunSacha"
"9","Ex08.N1.5","Exi08_JS","Exi08_JS","JatunSacha"
"10","Exi_VL_9.5.2.N1.01","Exi_VL_9.5.2","Exi_VL_9.5","ViaLoreto"
"11","Exi_VL_9.5.2.N1.02","Exi_VL_9.5.2","Exi_VL_9.5","ViaLoreto"
"12","Exi_VL_9.5.2.N1.03","Exi_VL_9.5.2","Exi_VL_9.5","ViaLoreto"
"13","Exi_VL_9.5.2.N1.04","Exi_VL_9.5.2","Exi_VL_9.5","ViaLoreto"
"14","Exi_Archi_11.8.3.N1.01","Exi_Archi_11.8.3","Exi_Archi_cluster","Archidona"
"15","Exi_Archi_11.8.3.N1.03","Exi_Archi_11.8.3","Exi_Archi_cluster","Archidona"
"16","Exi_Archi_11.8.3.N1.04","Exi_Archi_11.8.3","Exi_Archi_cluster","Archidona"
"17","Exi_Archi_11.8.5.N1.02","Exi_Archi_11.8.5","Exi_Archi_11.8.5","Archidona"
"18","Exi_Archi_11.8.1.N1.01","Exi_Archi_11.8.1","Exi_Archi_11.8.1","Archidona"
"19","Exi_VL_24.1.N1.01","Exi_VL_24.1","Exi_VL_24.1","ViaLoreto"
