****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 19x7379
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.05	Loglikelihood: -105670	(delta): 54135.1
2 (EM) 	Elapsed: 0.049	Loglikelihood: -98137.1	(delta): 7533.25
3 (EM) 	Elapsed: 0.054	Loglikelihood: -93879.9	(delta): 4257.18
4 (EM) 	Elapsed: 0.062	Loglikelihood: -90320.9	(delta): 3558.94
5 (EM) 	Elapsed: 0.051	Loglikelihood: -87133.7	(delta): 3187.23
Initial loglikelihood: -87133.7
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.346	Loglikelihood: -67582.1	(delta): 19551.6
2 (QN/Block) 	Elapsed: 0.288	Loglikelihood: -63232.6	(delta): 4349.45
3 (QN/Block) 	Elapsed: 0.31	Loglikelihood: -62349.1	(delta): 883.519
4 (QN/Block) 	Elapsed: 0.283	Loglikelihood: -61715.5	(delta): 633.663
5 (QN/Block) 	Elapsed: 0.303	Loglikelihood: -61299.9	(delta): 415.601
6 (QN/Block) 	Elapsed: 0.296	Loglikelihood: -60964.9	(delta): 334.987
7 (QN/Block) 	Elapsed: 0.297	Loglikelihood: -60899.3	(delta): 65.5578
8 (QN/Block) 	Elapsed: 0.343	Loglikelihood: -60867.6	(delta): 31.77
9 (QN/Block) 	Elapsed: 0.293	Loglikelihood: -60845.9	(delta): 21.6448
10 (QN/Block) 	Elapsed: 0.303	Loglikelihood: -60840.7	(delta): 5.16888
11 (QN/Block) 	Elapsed: 0.295	Loglikelihood: -60850.4	(delta): -9.6267
12 (QN/Block) 	Elapsed: 0.29	Loglikelihood: -60842	(delta): 8.38316
13 (QN/Block) 	Elapsed: 0.325	Loglikelihood: -60836.6	(delta): 5.39213
14 (QN/Block) 	Elapsed: 0.288	Loglikelihood: -60821.1	(delta): 15.5263
15 (QN/Block) 	Elapsed: 0.303	Loglikelihood: -60804.2	(delta): 16.9021
16 (QN/Block) 	Elapsed: 0.314	Loglikelihood: -60801.1	(delta): 3.0834
17 (QN/Block) 	Elapsed: 0.308	Loglikelihood: -60800.3	(delta): 0.757106
18 (QN/Block) 	Elapsed: 0.288	Loglikelihood: -60802.3	(delta): -1.933
19 (QN/Block) 	Elapsed: 0.274	Loglikelihood: -60794	(delta): 8.20433
20 (QN/Block) 	Elapsed: 0.301	Loglikelihood: -60797.5	(delta): -3.41288
21 (QN/Block) 	Elapsed: 0.274	Loglikelihood: -60795.8	(delta): 1.64444
22 (QN/Block) 	Elapsed: 0.276	Loglikelihood: -60797.7	(delta): -1.85267
23 (QN/Block) 	Elapsed: 0.282	Loglikelihood: -60800.5	(delta): -2.85792
24 (QN/Block) 	Elapsed: 0.277	Loglikelihood: -60796.4	(delta): 4.12533
25 (QN/Block) 	Elapsed: 0.273	Loglikelihood: -60793.6	(delta): 2.77125
26 (QN/Block) 	Elapsed: 0.28	Loglikelihood: -60788.3	(delta): 5.36527
27 (QN/Block) 	Elapsed: 0.288	Loglikelihood: -60781.4	(delta): 6.85589
28 (QN/Block) 	Elapsed: 0.283	Loglikelihood: -60779.6	(delta): 1.84901
29 (QN/Block) 	Elapsed: 0.283	Loglikelihood: -60773.7	(delta): 5.88168
30 (QN/Block) 	Elapsed: 0.287	Loglikelihood: -60770.7	(delta): 3.02019
31 (QN/Block) 	Elapsed: 0.284	Loglikelihood: -60766.6	(delta): 4.02269
32 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -60764.7	(delta): 1.90319
33 (QN/Block) 	Elapsed: 0.282	Loglikelihood: -60765.3	(delta): -0.568859
34 (QN/Block) 	Elapsed: 0.301	Loglikelihood: -60764.8	(delta): 0.456769
35 (QN/Block) 	Elapsed: 0.278	Loglikelihood: -60767.5	(delta): -2.62904
36 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -60767	(delta): 0.48622
37 (QN/Block) 	Elapsed: 0.27	Loglikelihood: -60765	(delta): 1.98774
38 (QN/Block) 	Elapsed: 0.278	Loglikelihood: -60765.1	(delta): -0.134495
39 (QN/Block) 	Elapsed: 0.281	Loglikelihood: -60767.1	(delta): -1.92676
40 (QN/Block) 	Elapsed: 0.291	Loglikelihood: -60773.9	(delta): -6.86977
41 (QN/Block) 	Elapsed: 0.282	Loglikelihood: -60773.6	(delta): 0.327465
42 (QN/Block) 	Elapsed: 0.27	Loglikelihood: -60770	(delta): 3.56841
43 (QN/Block) 	Elapsed: 0.27	Loglikelihood: -60773.9	(delta): -3.89623
44 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -60769.8	(delta): 4.08302
45 (QN/Block) 	Elapsed: 0.291	Loglikelihood: -60775.6	(delta): -5.78756
46 (QN/Block) 	Elapsed: 0.269	Loglikelihood: -60773.7	(delta): 1.90511
47 (QN/Block) 	Elapsed: 0.28	Loglikelihood: -60777.6	(delta): -3.91464
48 (QN/Block) 	Elapsed: 0.28	Loglikelihood: -60776.5	(delta): 1.16527
49 (QN/Block) 	Elapsed: 0.271	Loglikelihood: -60762.6	(delta): 13.8687
50 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -60742.7	(delta): 19.8985
51 (QN/Block) 	Elapsed: 0.309	Loglikelihood: -60738.8	(delta): 3.95202
52 (QN/Block) 	Elapsed: 0.328	Loglikelihood: -60749.3	(delta): -10.5173
53 (QN/Block) 	Elapsed: 0.296	Loglikelihood: -60741.5	(delta): 7.76326
54 (QN/Block) 	Elapsed: 0.305	Loglikelihood: -60740.2	(delta): 1.28708
55 (QN/Block) 	Elapsed: 0.278	Loglikelihood: -60738.6	(delta): 1.65467
56 (QN/Block) 	Elapsed: 0.288	Loglikelihood: -60737	(delta): 1.56623
57 (QN/Block) 	Elapsed: 0.292	Loglikelihood: -60733.9	(delta): 3.14942
58 (QN/Block) 	Elapsed: 0.285	Loglikelihood: -60736.1	(delta): -2.28836
59 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -60734.6	(delta): 1.54486
60 (QN/Block) 	Elapsed: 0.28	Loglikelihood: -60732.6	(delta): 1.9847
61 (QN/Block) 	Elapsed: 0.273	Loglikelihood: -60731.7	(delta): 0.89762
62 (QN/Block) 	Elapsed: 0.283	Loglikelihood: -60732.4	(delta): -0.703384
63 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -60732.8	(delta): -0.39632
64 (QN/Block) 	Elapsed: 0.275	Loglikelihood: -60731.9	(delta): 0.930704
65 (QN/Block) 	Elapsed: 0.315	Loglikelihood: -60733.1	(delta): -1.18468
66 (QN/Block) 	Elapsed: 0.537	Loglikelihood: -60731	(delta): 2.03063
67 (QN/Block) 	Elapsed: 0.276	Loglikelihood: -60734.5	(delta): -3.41963
68 (QN/Block) 	Elapsed: 0.271	Loglikelihood: -60730	(delta): 4.44137
69 (QN/Block) 	Elapsed: 0.285	Loglikelihood: -60730	(delta): 0.0582787
70 (QN/Block) 	Elapsed: 0.282	Loglikelihood: -60729	(delta): 0.94394
71 (QN/Block) 	Elapsed: 0.274	Loglikelihood: -60723.9	(delta): 5.12588
72 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -60720.6	(delta): 3.25802
73 (QN/Block) 	Elapsed: 0.294	Loglikelihood: -60718.9	(delta): 1.69199
74 (QN/Block) 	Elapsed: 0.287	Loglikelihood: -60718.7	(delta): 0.206572
75 (QN/Block) 	Elapsed: 0.274	Loglikelihood: -60720.7	(delta): -1.99261
76 (QN/Block) 	Elapsed: 0.287	Loglikelihood: -60718.2	(delta): 2.48091
77 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -60717.4	(delta): 0.798767
78 (QN/Block) 	Elapsed: 0.291	Loglikelihood: -60716.8	(delta): 0.628689
79 (QN/Block) 	Elapsed: 0.273	Loglikelihood: -60715.5	(delta): 1.33565
80 (QN/Block) 	Elapsed: 0.278	Loglikelihood: -60720.8	(delta): -5.35845
81 (QN/Block) 	Elapsed: 0.278	Loglikelihood: -60722.8	(delta): -1.98606
82 (QN/Block) 	Elapsed: 0.282	Loglikelihood: -60723.4	(delta): -0.619238
83 (QN/Block) 	Elapsed: 0.278	Loglikelihood: -60721.7	(delta): 1.7539
84 (QN/Block) 	Elapsed: 0.315	Loglikelihood: -60721.2	(delta): 0.445113
85 (QN/Block) 	Elapsed: 0.276	Loglikelihood: -60720.7	(delta): 0.557957
86 (QN/Block) 	Elapsed: 0.28	Loglikelihood: -60723.2	(delta): -2.54187
87 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -60722.2	(delta): 1.00279
88 (QN/Block) 	Elapsed: 0.285	Loglikelihood: -60720.8	(delta): 1.41961
89 (QN/Block) 	Elapsed: 0.276	Loglikelihood: -60718.9	(delta): 1.94432
90 (QN/Block) 	Elapsed: 0.3	Loglikelihood: -60717.6	(delta): 1.25638
91 (QN/Block) 	Elapsed: 0.277	Loglikelihood: -60716.2	(delta): 1.37361
92 (QN/Block) 	Elapsed: 0.277	Loglikelihood: -60722.9	(delta): -6.66285
93 (QN/Block) 	Elapsed: 0.271	Loglikelihood: -60730.9	(delta): -8.04164
94 (QN/Block) 	Elapsed: 0.275	Loglikelihood: -60722.5	(delta): 8.41013
95 (QN/Block) 	Elapsed: 0.271	Loglikelihood: -60721.9	(delta): 0.658396
96 (QN/Block) 	Elapsed: 0.283	Loglikelihood: -60718.7	(delta): 3.1482
97 (QN/Block) 	Elapsed: 0.278	Loglikelihood: -60722.6	(delta): -3.91689
98 (QN/Block) 	Elapsed: 0.275	Loglikelihood: -60717	(delta): 5.59682
99 (QN/Block) 	Elapsed: 0.283	Loglikelihood: -60716.4	(delta): 0.596686
100 (QN/Block) 	Elapsed: 0.28	Loglikelihood: -60726.8	(delta): -10.3234
101 (QN/Block) 	Elapsed: 0.288	Loglikelihood: -60723.9	(delta): 2.88361
102 (QN/Block) 	Elapsed: 0.284	Loglikelihood: -60719.6	(delta): 4.26346
103 (QN/Block) 	Elapsed: 0.281	Loglikelihood: -60719.7	(delta): -0.0365391
104 (QN/Block) 	Elapsed: 0.323	Loglikelihood: -60721.5	(delta): -1.86192
105 (QN/Block) 	Elapsed: 0.301	Loglikelihood: -60723.8	(delta): -2.30885
106 (QN/Block) 	Elapsed: 0.282	Loglikelihood: -60723.9	(delta): -0.0694256
107 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -60720.8	(delta): 3.09487
108 (QN/Block) 	Elapsed: 0.277	Loglikelihood: -60720.2	(delta): 0.560991
109 (QN/Block) 	Elapsed: 0.297	Loglikelihood: -60720.6	(delta): -0.345206
110 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -60720.8	(delta): -0.250556
111 (QN/Block) 	Elapsed: 0.326	Loglikelihood: -60738	(delta): -17.1516
112 (QN/Block) 	Elapsed: 0.282	Loglikelihood: -60722.6	(delta): 15.4137
113 (QN/Block) 	Elapsed: 0.306	Loglikelihood: -60727.5	(delta): -4.95798
114 (QN/Block) 	Elapsed: 0.334	Loglikelihood: -60728.4	(delta): -0.895564
115 (QN/Block) 	Elapsed: 0.27	Loglikelihood: -60726.2	(delta): 2.23192
116 (QN/Block) 	Elapsed: 0.309	Loglikelihood: -60725.8	(delta): 0.401859
117 (QN/Block) 	Elapsed: 0.29	Loglikelihood: -60731.6	(delta): -5.81322
118 (QN/Block) 	Elapsed: 0.309	Loglikelihood: -60730.9	(delta): 0.742458
119 (QN/Block) 	Elapsed: 0.267	Loglikelihood: -60728.2	(delta): 2.64194
120 (QN/Block) 	Elapsed: 0.291	Loglikelihood: -60727.9	(delta): 0.281887
121 (QN/Block) 	Elapsed: 0.289	Loglikelihood: -60731	(delta): -3.04693
122 (QN/Block) 	Elapsed: 0.304	Loglikelihood: -60734.9	(delta): -3.92574
123 (QN/Block) 	Elapsed: 0.758	Loglikelihood: -60731.5	(delta): 3.43947
124 (QN/Block) 	Elapsed: 0.502	Loglikelihood: -60729.7	(delta): 1.7735
125 (QN/Block) 	Elapsed: 0.436	Loglikelihood: -60728.4	(delta): 1.35068
126 (QN/Block) 	Elapsed: 0.498	Loglikelihood: -60731.4	(delta): -3.06963
