"","V1","V2","V3"
"1","Ex07.F2.1","Exi07_JS","JatunSacha"
"2","Ex07.F2.2","Exi07_JS","JatunSacha"
"3","Ex07.F2.3","Exi07_JS","JatunSacha"
"4","Ex07.F2.4","Exi07_JS","JatunSacha"
"5","Ex02.F2.8","Exi02_JS","JatunSacha"
"6","Ex02.F2.5","Exi02_JS","JatunSacha"
"7","Ex02.F2.1","Exi02_JS","JatunSacha"
"8","Ex02.F2.2","Exi02_JS","JatunSacha"
"9","Ex14A.F2.1","Exi14_JS","JatunSacha"
"10","Ex02.F2.7","Exi02_JS","JatunSacha"
"11","Ex08.F2.2","Exi08_JS","JatunSacha"
"12","Ex14A.F2.2","Exi14_JS","JatunSacha"
