"","V1","V2","V3","V4"
"1","Ex11.3","Exi11_JS","rio","JatunSacha"
"2","Ex11.4","Exi11_JS","rio","JatunSacha"
"3","Ex12.1","Exi12_JS","rio","JatunSacha"
"4","Ex12.7","Exi12_JS","rio","JatunSacha"
"5","Ex14.2","Exi14_JS","past_farm","JatunSacha"
"6","Ex14.4","Exi14_JS","past_farm","JatunSacha"
"7","Ex01.3","Exi01_JS","sendero1","JatunSacha"
"8","Ex02.3","Exi02_JS","OG","JatunSacha"
"9","Ex05.5","Exi05_JS","sol2","JatunSacha"
"10","Ex06A.5","Exi06_JS","jardin","JatunSacha"
"11","Ex06B.1","Exi06_JS","jardin","JatunSacha"
"12","Ex06B.6","Exi06_JS","jardin","JatunSacha"
"13","Ex02.6","Exi02_JS","OG","JatunSacha"
"14","Ex02.8","Exi02_JS","OG","JatunSacha"
"15","Ex05.3","Exi05_JS","sol2","JatunSacha"
"16","Ex05.6","Exi05_JS","sol2","JatunSacha"
"17","Ex06A.6","Exi06_JS","jardin","JatunSacha"
"18","Ex06B.3","Exi06_JS","jardin","JatunSacha"
"19","Ex06B.5","Exi06_JS","jardin","JatunSacha"
"20","Ex06B.8","Exi06_JS","jardin","JatunSacha"
"21","Ex12.5","Exi12_JS","rio","JatunSacha"
"22","Ex05.1","Exi05_JS","sol2","JatunSacha"
"23","Ex06A.3","Exi06_JS","jardin","JatunSacha"
"24","Ex07.1","Exi07_JS","jardin","JatunSacha"
"25","Ex07.3","Exi07_JS","jardin","JatunSacha"
"26","Ex08.1","Exi08_JS","farm","JatunSacha"
"27","Ex08.3","Exi08_JS","farm","JatunSacha"
"28","Ex06A.1","Exi06_JS","jardin","JatunSacha"
"29","Ex06B.4","Exi06_JS","jardin","JatunSacha"
"30","Ex06B.7","Exi06_JS","jardin","JatunSacha"
"31","Ex07.5","Exi07_JS","jardin","JatunSacha"
"32","Ex08.7","Exi08_JS","farm","JatunSacha"
"33","Ex08.8","Exi08_JS","farm","JatunSacha"
"34","Ex12.3","Exi12_JS","rio","JatunSacha"
"35","Ex12.6","Exi12_JS","rio","JatunSacha"
"36","Ex06B.2","Exi06_JS","jardin","JatunSacha"
"37","Ex07.2","Exi07_JS","jardin","JatunSacha"
"38","Ex08.6","Exi08_JS","farm","JatunSacha"
"39","Ex02.2","Exi02_JS","OG","JatunSacha"
"40","Ex02.4","Exi02_JS","OG","JatunSacha"
"41","Ex07.4","Exi07_JS","jardin","JatunSacha"
"42","Ex07.6","Exi07_JS","jardin","JatunSacha"
"43","Ex07.8","Exi07_JS","jardin","JatunSacha"
"44","Ex08.2","Exi08_JS","farm","JatunSacha"
"45","Ex10.2","Exi10_JS","farm","JatunSacha"
"46","Ex10.5","Exi10_JS","farm","JatunSacha"
"47","Ex11.1","Exi11_JS","rio","JatunSacha"
"48","Ex14.5","Exi14_JS","past_farm","JatunSacha"
"49","Ex02.14","Exi02_JS","OG","JatunSacha"
"50","Ex02.1","Exi02_JS","OG","JatunSacha"
"51","Ex19.4","Exi19_JS","cabins","JatunSacha"
"52","Ex12.14","Exi12_JS","rio","JatunSacha"
"53","Exi_VL_47.3.1.05","Exi_VL_47.3.1","km47.3","ViaLoreto"
"54","Exi_VL_41.2.01","Exi_VL_41.2","km41.2","ViaLoreto"
"55","Exi_VL_41.2.02","Exi_VL_41.2","km41.2","ViaLoreto"
"56","Exi_VL_41.2.03","Exi_VL_41.2","km41.2","ViaLoreto"
"57","Exi_VL_41.2.04","Exi_VL_41.2","km41.2","ViaLoreto"
"58","Exi_VL_17.5.01","Exi_VL_17.5","km17.5","ViaLoreto"
"59","Exi_VL_17.5.03","Exi_VL_17.5","km17.5","ViaLoreto"
"60","Exi_VL_17.5.05","Exi_VL_17.5","km17.5","ViaLoreto"
"61","Exi_VL_17.5.06","Exi_VL_17.5","km17.5","ViaLoreto"
"62","Exi_VL_Bridge.1.01","Exi_VL_Bridge.1","Bridge","ViaLoreto"
"63","Exi_VL_Bridge.1.03","Exi_VL_Bridge.1","Bridge","ViaLoreto"
"64","Exi_VL_Bridge.1.04","Exi_VL_Bridge.1","Bridge","ViaLoreto"
"65","Exi_VL_24.1.01","Exi_VL_24.1","km24","ViaLoreto"
"66","Exi_VL_24.1.02","Exi_VL_24.1","km24","ViaLoreto"
"67","Exi_VL_24.1.03","Exi_VL_24.1","km24","ViaLoreto"
"68","Exi_VL_24.1.04","Exi_VL_24.1","km24","ViaLoreto"
"69","Exi_VL_24.1.05","Exi_VL_24.1","km24","ViaLoreto"
"70","Exi_VL_24.1.06","Exi_VL_24.1","km24","ViaLoreto"
"71","Exi_VL_9.5.1.01","Exi_VL_9.5.1","km9.5","ViaLoreto"
