"name","filename.1","filename.2"
"Ex11.3","Ex11.3.1.fq.gz","Ex11.3.2.fq.gz"
"Ex11.4","Ex11.4.1.fq.gz","Ex11.4.2.fq.gz"
"Ex11.5","Ex11.5.1.fq.gz","Ex11.5.2.fq.gz"
"Ex12.1","Ex12.1.1.fq.gz","Ex12.1.2.fq.gz"
"Ex12.7","Ex12.7.1.fq.gz","Ex12.7.2.fq.gz"
"Ex14.2","Ex14.2.1.fq.gz","Ex14.2.2.fq.gz"
"Ex14.4","Ex14.4.1.fq.gz","Ex14.4.2.fq.gz"
"Ex02.3","Ex02.3.1.fq.gz","Ex02.3.2.fq.gz"
"Ex05.5","Ex05.5.1.fq.gz","Ex05.5.2.fq.gz"
"Ex06A.5","Ex06A.5.1.fq.gz","Ex06A.5.2.fq.gz"
"Ex06B.1","Ex06B.1.1.fq.gz","Ex06B.1.2.fq.gz"
"Ex06B.6","Ex06B.6.1.fq.gz","Ex06B.6.2.fq.gz"
"Ex02.6","Ex02.6.1.fq.gz","Ex02.6.2.fq.gz"
"Ex02.8","Ex02.8.1.fq.gz","Ex02.8.2.fq.gz"
"Ex05.3","Ex05.3.1.fq.gz","Ex05.3.2.fq.gz"
"Ex05.6","Ex05.6.1.fq.gz","Ex05.6.2.fq.gz"
"Ex06A.6","Ex06A.6.1.fq.gz","Ex06A.6.2.fq.gz"
"Ex06B.3","Ex06B.3.1.fq.gz","Ex06B.3.2.fq.gz"
"Ex06B.5","Ex06B.5.1.fq.gz","Ex06B.5.2.fq.gz"
"Ex06B.8","Ex06B.8.1.fq.gz","Ex06B.8.2.fq.gz"
"Ex12.5","Ex12.5.1.fq.gz","Ex12.5.2.fq.gz"
"Ex05.1","Ex05.1.1.fq.gz","Ex05.1.2.fq.gz"
"Ex06A.3","Ex06A.3.1.fq.gz","Ex06A.3.2.fq.gz"
"Ex07.1","Ex07.1.1.fq.gz","Ex07.1.2.fq.gz"
"Ex07.3","Ex07.3.1.fq.gz","Ex07.3.2.fq.gz"
"Ex08.1","Ex08.1.1.fq.gz","Ex08.1.2.fq.gz"
"Ex08.3","Ex08.3.1.fq.gz","Ex08.3.2.fq.gz"
"Ex06A.1","Ex06A.1.1.fq.gz","Ex06A.1.2.fq.gz"
"Ex06B.4","Ex06B.4.1.fq.gz","Ex06B.4.2.fq.gz"
"Ex06B.7","Ex06B.7.1.fq.gz","Ex06B.7.2.fq.gz"
"Ex07.5","Ex07.5.1.fq.gz","Ex07.5.2.fq.gz"
"Ex08.7","Ex08.7.1.fq.gz","Ex08.7.2.fq.gz"
"Ex08.8","Ex08.8.1.fq.gz","Ex08.8.2.fq.gz"
"Ex12.3","Ex12.3.1.fq.gz","Ex12.3.2.fq.gz"
"Ex12.6","Ex12.6.1.fq.gz","Ex12.6.2.fq.gz"
"Ex06B.2","Ex06B.2.1.fq.gz","Ex06B.2.2.fq.gz"
"Ex07.2","Ex07.2.1.fq.gz","Ex07.2.2.fq.gz"
"Ex08.6","Ex08.6.1.fq.gz","Ex08.6.2.fq.gz"
"Ex02.2","Ex02.2.1.fq.gz","Ex02.2.2.fq.gz"
"Ex02.4","Ex02.4.1.fq.gz","Ex02.4.2.fq.gz"
"Ex07.4","Ex07.4.1.fq.gz","Ex07.4.2.fq.gz"
"Ex07.6","Ex07.6.1.fq.gz","Ex07.6.2.fq.gz"
"Ex07.8","Ex07.8.1.fq.gz","Ex07.8.2.fq.gz"
"Ex08.2","Ex08.2.1.fq.gz","Ex08.2.2.fq.gz"
"Ex10.2","Ex10.2.1.fq.gz","Ex10.2.2.fq.gz"
"Ex10.5","Ex10.5.1.fq.gz","Ex10.5.2.fq.gz"
"Ex11.1","Ex11.1.1.fq.gz","Ex11.1.2.fq.gz"
"Ex14.5","Ex14.5.1.fq.gz","Ex14.5.2.fq.gz"
"Ex02.14","Ex02.14.1.fq.gz","Ex02.14.2.fq.gz"
"Ex02.1","Ex02.1.1.fq.gz","Ex02.1.2.fq.gz"
"Ex12.14","Ex12.14.1.fq.gz","Ex12.14.2.fq.gz"
"Exi_VL_41.2.01","Exi_VL_41.2.01.1.fq.gz","Exi_VL_41.2.01.2.fq.gz"
"Exi_VL_41.2.02","Exi_VL_41.2.02.1.fq.gz","Exi_VL_41.2.02.2.fq.gz"
"Exi_VL_41.2.03","Exi_VL_41.2.03.1.fq.gz","Exi_VL_41.2.03.2.fq.gz"
"Exi_VL_41.2.04","Exi_VL_41.2.04.1.fq.gz","Exi_VL_41.2.04.2.fq.gz"
"Exi_VL_17.5.01","Exi_VL_17.5.01.1.fq.gz","Exi_VL_17.5.01.2.fq.gz"
"Exi_VL_17.5.03","Exi_VL_17.5.03.1.fq.gz","Exi_VL_17.5.03.2.fq.gz"
"Exi_VL_17.5.05","Exi_VL_17.5.05.1.fq.gz","Exi_VL_17.5.05.2.fq.gz"
"Exi_VL_17.5.06","Exi_VL_17.5.06.1.fq.gz","Exi_VL_17.5.06.2.fq.gz"
"Exi_VL_Bridge.1.01","Exi_VL_Bridge.1.01.1.fq.gz","Exi_VL_Bridge.1.01.2.fq.gz"
"Exi_VL_Bridge.1.03","Exi_VL_Bridge.1.03.1.fq.gz","Exi_VL_Bridge.1.03.2.fq.gz"
"Exi_VL_Bridge.1.04","Exi_VL_Bridge.1.04.1.fq.gz","Exi_VL_Bridge.1.04.2.fq.gz"
"Exi_VL_24.1.01","Exi_VL_24.1.01.1.fq.gz","Exi_VL_24.1.01.2.fq.gz"
"Exi_VL_24.1.02","Exi_VL_24.1.02.1.fq.gz","Exi_VL_24.1.02.2.fq.gz"
"Exi_VL_24.1.03","Exi_VL_24.1.03.1.fq.gz","Exi_VL_24.1.03.2.fq.gz"
"Exi_VL_24.1.04","Exi_VL_24.1.04.1.fq.gz","Exi_VL_24.1.04.2.fq.gz"
"Exi_VL_24.1.05","Exi_VL_24.1.05.1.fq.gz","Exi_VL_24.1.05.2.fq.gz"
"Exi_VL_24.1.06","Exi_VL_24.1.06.1.fq.gz","Exi_VL_24.1.06.2.fq.gz"
"Exi_VL_9.5.1.01","Exi_VL_9.5.1.01.1.fq.gz","Exi_VL_9.5.1.01.2.fq.gz"
"Exi_VL_9.5.1.02","Exi_VL_9.5.1.02.1.fq.gz","Exi_VL_9.5.1.02.2.fq.gz"
"Exi_VL_9.5.1.03","Exi_VL_9.5.1.03.1.fq.gz","Exi_VL_9.5.1.03.2.fq.gz"
"Exi_VL_Bridge.1.06","Exi_VL_Bridge.1.06.1.fq.gz","Exi_VL_Bridge.1.06.2.fq.gz"
"Exi_VL_Bridge.1.07","Exi_VL_Bridge.1.07.1.fq.gz","Exi_VL_Bridge.1.07.2.fq.gz"
"Exi_VL_10.5.08","Exi_VL_10.5.08.1.fq.gz","Exi_VL_10.5.08.2.fq.gz"
"Exi_VL_9.5.1.05","Exi_VL_9.5.1.05.1.fq.gz","Exi_VL_9.5.1.05.2.fq.gz"
"Exi_VL_Bridge.1.05","Exi_VL_Bridge.1.05.1.fq.gz","Exi_VL_Bridge.1.05.2.fq.gz"
"Exi_VL_10.5.04","Exi_VL_10.5.04.1.fq.gz","Exi_VL_10.5.04.2.fq.gz"
"Exi_VL_10.5.05","Exi_VL_10.5.05.1.fq.gz","Exi_VL_10.5.05.2.fq.gz"
"Exi_VL_10.5.06","Exi_VL_10.5.06.1.fq.gz","Exi_VL_10.5.06.2.fq.gz"
"Exi_VL_10.5.07","Exi_VL_10.5.07.1.fq.gz","Exi_VL_10.5.07.2.fq.gz"
"Exi_VL_9.5.01","Exi_VL_9.5.01.1.fq.gz","Exi_VL_9.5.01.2.fq.gz"
"Exi_Archi_11.8.1.01","Exi_Archi_11.8.1.01.1.fq.gz","Exi_Archi_11.8.1.01.2.fq.gz"
"Exi_Archi_11.8.1.02","Exi_Archi_11.8.1.02.1.fq.gz","Exi_Archi_11.8.1.02.2.fq.gz"
"Exi_Archi_11.8.1.04","Exi_Archi_11.8.1.04.1.fq.gz","Exi_Archi_11.8.1.04.2.fq.gz"
"Exi_Archi_11.8.1.05","Exi_Archi_11.8.1.05.1.fq.gz","Exi_Archi_11.8.1.05.2.fq.gz"
"Exi_Archi_11.8.5.01","Exi_Archi_11.8.5.01.1.fq.gz","Exi_Archi_11.8.5.01.2.fq.gz"
"Exi_Archi_11.8.5.02","Exi_Archi_11.8.5.02.1.fq.gz","Exi_Archi_11.8.5.02.2.fq.gz"
"Exi_Archi_11.8.5.03","Exi_Archi_11.8.5.03.1.fq.gz","Exi_Archi_11.8.5.03.2.fq.gz"
"Exi_Archi_11.8.5.04","Exi_Archi_11.8.5.04.1.fq.gz","Exi_Archi_11.8.5.04.2.fq.gz"
"Exi_Archi_11.8.1.06","Exi_Archi_11.8.1.06.1.fq.gz","Exi_Archi_11.8.1.06.2.fq.gz"
"Exi_Archi_11.8.1.07","Exi_Archi_11.8.1.07.1.fq.gz","Exi_Archi_11.8.1.07.2.fq.gz"
"Exi_Archi_11.8.1.08","Exi_Archi_11.8.1.08.1.fq.gz","Exi_Archi_11.8.1.08.2.fq.gz"
"Exi_Archi_11.8.1.09","Exi_Archi_11.8.1.09.1.fq.gz","Exi_Archi_11.8.1.09.2.fq.gz"
"Exi_Archi_11.8.1.10","Exi_Archi_11.8.1.10.1.fq.gz","Exi_Archi_11.8.1.10.2.fq.gz"
"Exi_Archi_11.8.2.01","Exi_Archi_11.8.2.01.1.fq.gz","Exi_Archi_11.8.2.01.2.fq.gz"
"Exi_Archi_11.8.2.02","Exi_Archi_11.8.2.02.1.fq.gz","Exi_Archi_11.8.2.02.2.fq.gz"
"Exi_Archi_11.8.2.03","Exi_Archi_11.8.2.03.1.fq.gz","Exi_Archi_11.8.2.03.2.fq.gz"
"Exi_Archi_11.8.4.05","Exi_Archi_11.8.4.05.1.fq.gz","Exi_Archi_11.8.4.05.2.fq.gz"
"Exi_Archi_11.8.5.05","Exi_Archi_11.8.5.05.1.fq.gz","Exi_Archi_11.8.5.05.2.fq.gz"
